Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Пробіг,Тип палива,Трансмісія,Учасник ДТП,VIN-код,Актуальність,Посилання
Opel Astra F  1993,2600,70876,Львів,370 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,15.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30235211.html
Opel Astra F 1.7 ISUZU 1996,3100,84444,Стрий,362 тис. км,"Дизель, 1.7 л.",Не вказано,-,Платний перегляд,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30381082.html
Opel Astra F restyling 1996,2599,70797,Богородчани,347 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30052091.html
Opel Astra F GT gran turismo 3d 1992,2300,62767,Київ,7 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,12.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30520871.html
Opel Astra F  1996,3150,85775,Дрогобич,290 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,6.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30465793.html
Opel Astra F  1997,3090,84172,Макіївка,228 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,17.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_27084856.html
Opel Astra F  1992,1200,32736,Дніпро (Дніпропетровськ),277 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,17.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30560283.html
Opel Astra F  1995,1650,44930,Чернівці,350 тис. км,"Дизель, 1.7 л.",Не вказано,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30556829.html
Opel Astra F  1993,2800,76244,Львів,158 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30556062.html
Opel Astra F  1995,3150,85775,Чортків,285 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29490800.html
Opel Astra F X16XEL 1995,2600,70798,Харків,328 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_28956457.html
Opel Astra F  1998,2500,68150,Полонне,335 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30548100.html
Opel Astra F  1994,2500,68150,Маньківка,420 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,16.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29781253.html
Opel Astra F  1992,2100,57204,Івано-Франківськ,370 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,15.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30548140.html
Opel Astra F F 1995,1400,38178,Сміла,365 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,+,W0L000053S5300033,15.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30546751.html
