Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Opel Insignia 2019 Innovation Grand Sport 2.0D AT (170 к.с) Start/Stop,34598,944200,Хмельницький,Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-insignia__561651-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-insignia-1784534.html
Opel Grandland X 2020 Innovation 1.5D 8AT (130 к.с) Start/Stop,29058,793000,Черкаси,Дизель (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1033500-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1850672.html
Opel Zafira Life 2021 Enjoy 2.0 BlueHDi AT (180 к.с) L2,43238,443,Полтава,Дизель (2.0 л),Автомат,Передній привід,Ціну знижено / Краща ціна / Реєстрація в салоні / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1246786-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1860105.html
Opel Vivaro груз. 2021 Essentia Crew Cab 2.0 BlueHDi MT (150 к.с) L2,39171,1069000,Полтава,Дизель (2.0 л),Механічна,Передній привід,Краща ціна / Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-vivaro-gruz__1210888-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1860107.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21029,573900,Полтава,Бензин (1.2 л),Механічна,Передній привід,Краща ціна / Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1264549-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1861979.html
Opel Grandland X 2020 Innovation 1.2 PureTech 8AT (130 к.с),24551,670000,Кропивницький (Кіровоград),Бензин (1.2 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0% / Користується популярністю,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1234208-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1861233.html
Opel Astra J 2019 Enjoy 1.4Т АТ (140 к.с),17589,480000,Дніпро (Дніпропетровськ),Бензин (1.4 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-astra-j__1008751-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-astra-j-1849165.html
Opel Insignia 2019 Innovation Navi Grand Sport 2.0D AT (170 к.с) Start/Stop,32942,899000,Дніпро (Дніпропетровськ),Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-insignia__995301-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-insignia-1825592.html
Opel Astra J 2020 Enjoy 1.4Т МТ (140 к.с),17413,475200,Хмельницький,Бензин (1.4 л),Механічна,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-astra-j__617083-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-astra-j-1810322.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21473,586000,Черкаси,Бензин (1.2 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1255886-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1862019.html
Opel Zafira Life 2021 Business Innovation 2.0 BlueHDi AT (180 к.с) L1,53811,1468530,Херсон,Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1291501-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1863934.html
Opel Crossland 2021 Edition Direct Injection 1.2 MT (82 к.с),18672,509580,Херсон,Бензин (1.2 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland__1291357-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-1863925.html
