Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Skoda Kodiaq 2021 Style 2.0 TDI AT (150 к.с) 4x4,39300,1072517,Одеса,Дизель (2.0 л),Роботизована,Повний привід,Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-kodiaq__1279751-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-kodiaq-1863399.html
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 к.с),22865,640334,Кременчук,Бензин (1.5 л),Механічна,Передній привід,Краща ціна / Гарантія до 4 років / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-octavia__1262059-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-octavia-1854251.html
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 к.с),23525,658065,Одеса,Бензин (1.5 л),Механічна,Передній привід,Кредит до 3 років під 0% / Онлайн бронювання,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-octavia__1286211-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-octavia-1863690.html
Skoda Octavia 2019 Ambition A7 New 1.4 TSI AT (150 к.с),22165,620000,Одеса,Бензин (1.4 л),Роботизована,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0% / Онлайн бронювання,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-octavia__1286237-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-octavia-1863691.html
Skoda Karoq 2021 Style 1.4 TSI AT (150 к.с),26491,741033,Одеса,Бензин (1.4 л),Автомат,Передній привід,Краща ціна / Кредит до 4 років під 0% / Онлайн бронювання,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-karoq__1286262-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-karoq-1863692.html
Skoda Superb 2020 Style 2.0 TSI DSG (190 к.с),37700,1028852,Харків,Бензин (2.0 л),Роботизована,Передній привід,Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-superb__1253368-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-superb-1862270.html
Skoda Kodiaq 2021 Style 2.0 TDI AT (150 к.с) 4x4,37009,1010000,Харків,Дизель (2.0 л),Роботизована,Повний привід,Краща ціна / Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-kodiaq__1267625-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-kodiaq-1862877.html
Skoda Karoq 2021 Style 1.4 TSI AT (150 к.с),27450,749124,Харків,Бензин (1.4 л),Автомат,Передній привід,Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-karoq__1276082-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-karoq-1863240.html
Skoda Karoq 2021 Style 1.4 TSI AT (150 к.с),27370,746950,Івано-Франківськ,Бензин (1.4 л),Автомат,Передній привід,Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-karoq__1153108-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-karoq-1855416.html
Skoda Karoq 2021 Active 1.4 TSI AT (150 к.с),23900,652243,Харків,Бензин (1.4 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-karoq__1194782-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-karoq-1859422.html
Skoda Karoq 2021 Style 2.0 TDI MT (115 к.с),27680,775178,Кременчук,Дизель (2.0 л),Механічна,Передній привід,Краща ціна / Остання пропозиція / Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-karoq__1277680-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-karoq-1863284.html
Skoda Kodiaq 2021 Style 2.0 TDI AT (200 к.с) 4x4,42174,1145000,Кропивницький (Кіровоград),Дизель (2.0 л),Автомат,Повний привід,Кількість обмежена / Кредит до 4 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-kodiaq__1290975-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-kodiaq-1863914.html
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 к.с),22732,635882,Дніпро (Дніпропетровськ),Бензин (1.5 л),Роботизована,Передній привід,Кредит до 4 років під 0% / Під замовлення - 7 днів / Онлайн бронювання,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-scala__1256539-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-scala-1862423.html
Skoda Scala 2021 Style 1.5 TSI DSG (150 к.с),22255,622539,Одеса,Бензин (1.5 л),Роботизована,Передній привід,Кредит до 4 років під 0% / Онлайн бронювання,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/skoda-scala__1286490-341x224x70.jpg,https://auto.ria.com/newauto/auto-skoda-scala-1863697.html
