Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Toyota RAV4 2021 Active 2.5 Hybrid e-CVT (218 к.с),35989,979981,Харків,Гібрид (2.5 л),Варіатор,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-rav4__1286612-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-rav4-1863701.html
Toyota C-HR 2021 Active 1.8 Hybrid e-CVT (122 к.с),31152,848259,Кривий Ріг,Гібрид (1.8 л),Варіатор,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-c-hr__1265558-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-c-hr-1861387.html
Toyota RAV4 2020 Active 2.5 Hybrid e-CVT (218 к.с),33851,921754,Кривий Ріг,Гібрид (2.5 л),Варіатор,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-rav4__1266385-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-rav4-1858116.html
Toyota Corolla 2021 Active 1.8 Hybrid e-CVT (122 к.с),27396,745998,Івано-Франківськ,Гібрид (1.8 л),Варіатор,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-corolla__1193912-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-corolla-1859371.html
Toyota Camry 2021 Premium 2.5 Hybrid E-CVT (218 к.с),45206,1230955,Харків,Гібрид (2.5 л),Варіатор,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-camry__1238472-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-camry-1861540.html
Toyota Highlander 2021 Premium 3.5i Dual VVT-iW AT (249 к.с) DTC AWD-S,60748,1654165,Кривий Ріг,Бензин (3.5 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 7 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-highlander__1266143-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-highlander-1860572.html
Toyota Camry 2021 Elegance+ 2.5 Hybrid e-CVT (218 к.с),35427,964671,Біла Церква,Гібрид (2.5 л),Варіатор,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-camry__1272190-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-camry-1863068.html
Toyota C-HR 2021 Active 2.0 Hybrid e-CVT (184 к.с),33534,913140,Біла Церква,Гібрид (2.0 л),Варіатор,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-c-hr__1257617-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-c-hr-1862485.html
Toyota Proace City Verso 2021 Shuttle 1.5 D-4D 5MT (102 к.с) L1,25170,685389,Кривий Ріг,Дизель (1.5 л),Механічна,Передній привід,Кредит до 3 років під 0% / Під замовлення - 7 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-proace-city-verso__1266708-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-proace-city-verso-1862840.html
Toyota Camry 2021 Premium+ 2.5 Hybrid e-CVT (218 к.с),44278,1205692,Кривий Ріг,Гібрид (2.5 л),Варіатор,Передній привід,Кредит до 3 років під 0% / Під замовлення - 7 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-camry__1265504-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-camry-1860577.html
Toyota Corolla 2021 Active 1.8 Hybrid e-CVT (122 к.с),27033,736119,Кривий Ріг,Гібрид (1.8 л),Варіатор,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-corolla__1266290-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-corolla-1858105.html
Toyota Camry 2021 Prestige+ 2.5 Hybrid e-CVT (218 к.с),37849,1030620,Біла Церква,Гібрид (2.5 л),Варіатор,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-camry__1244858-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-camry-1861848.html
Toyota Yaris 2020 Active 1.5i Hybrid e-CVT (116 к.с),22576,614745,Кременчук,Гібрид (1.5 л),Варіатор,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-yaris__1176900-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-yaris-1851388.html
Toyota Camry 2021 Prestige+ 2.5 Hybrid e-CVT (218 к.с),37281,1015160,Кременчук,Гібрид (2.5 л),Варіатор,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/toyota-camry__1252875-341x224x70.jpg,https://auto.ria.com/newauto/auto-toyota-camry-1862266.html
