Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Volkswagen Touareg 2021 R-Line 3.0 TDI AT (286 к.с) AWD,79140,2159770,Хмельницький,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 90 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1211043-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1860117.html
Volkswagen Passat 2021 Elegance 2.0 TDI 7-DSG (200 к.с),47130,1286201,Полтава,Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-passat__1282499-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-passat-1863522.html
Volkswagen Crafter груз. 2021 HD 35 2.0 TDI MT (140 к.с) MR,35910,980000,Житомир,Дизель (2.0 л),Механічна,Передній привід,Краща ціна / Гарантія до 4 років / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-crafter-gruz__1232022-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1861098.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,40197,1097000,Житомир,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1203421-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1859763.html
Volkswagen Golf 2021 GTI GTI 2.0 TSI DSG (245 к.с),42600,1162575,Полтава,Бензин (2.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-golf__1234018-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-golf-1861260.html
Volkswagen T-Cross 2021 Style 1.0 TSI DSG (115 к.с),28420,765606,Київ,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1201498-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859682.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,45650,1245811,Полтава,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1246971-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1861943.html
Volkswagen Passat 2021 Elegance 2.0 TDI 7-DSG (200 к.с) 4x4,52898,1443613,Херсон,Дизель (2.0 л),Автомат,Повний привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-passat__1277684-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-passat-1863295.html
Volkswagen Passat 2021 Elegance 2.0 TSI 6-DSG (220 к.с),43870,449,Херсон,Бензин (2.0 л),Автомат,Передній привід,Ціну знижено / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-passat__1277758-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-passat-1863299.html
Volkswagen T-Roc 2021 Sport 1.5 TSI DSG (150 к.с),29974,818000,Житомир,Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1152799-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1857234.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,45900,482,Херсон,Бензин (2.0 л),Автомат,Повний привід,Ціну знижено / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1278141-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863323.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,41430,1130645,Херсон,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1292007-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863967.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,41900,1128744,Київ,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1201049-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1859667.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,41430,1130645,Херсон,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1291934-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863963.html
Volkswagen Tiguan 2021 Individual 2.0 TSI DSG (220 к.с) 4Motion,47020,1266672,Київ,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1157612-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1857470.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49999,1364498,Миколаїв,Дизель (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1291882-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863960.html
Volkswagen Touareg 2021 Base 3.0 TDI AT (286 к.с) AWD,65392,1784580,Київ,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1269773-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1862959.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,44120,1204057,Одеса,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1248318-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1862008.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,40500,1105265,Хмельницький,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1291153-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863919.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,64273,1754042,Київ,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1292415-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863974.html
Volkswagen T-Roc 2020 Style Limited 1.5 TSI DSG (150 к.с),26400,720469,Миколаїв,Бензин (1.5 л),Автомат,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1278883-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1863355.html
